source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[reference channel]	comment[carrier channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
SM03p1b1_04_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_04_delta4	1	1	run 11	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_04_S4-A4_1_4613.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_04_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_04_delta8	1	1	run 12	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_04_S4-A4_1_4613.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 13	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_05_S4-A5_1_4614.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_05_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_05_delta4	1	1	run 14	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_05_S4-A5_1_4614.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_05_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_05_delta8	1	1	run 15	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_05_S4-A5_1_4614.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 16	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_06_S4-A6_1_4615.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_06_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_06_delta4	1	1	run 17	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_06_S4-A6_1_4615.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_06_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_06_delta8	1	1	run 18	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_06_S4-A6_1_4615.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 19	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_07_S4-A7_1_4616.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_07_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_07_delta4	1	1	run 20	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_07_S4-A7_1_4616.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_07_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_07_delta8	1	1	run 21	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_07_S4-A7_1_4616.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 22	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_08_S4-A8_1_4617.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_08_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_08_delta4	1	1	run 23	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_08_S4-A8_1_4617.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_08_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_08_delta8	1	1	run 24	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_08_S4-A8_1_4617.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 25	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_09_S4-A9_1_4618.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_09_delta4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_09_delta4	1	1	run 26	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL4;AC=PRIDE:0000850	NT=Dimethyl:2H(4);MT=Fixed;PP=Any N-term;AC=UNIMOD:199	NT=Dimethyl:2H(4);MT=Fixed;TA=K;AC=UNIMOD:199	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_09_S4-A9_1_4618.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
SM03p1b1_09_delta8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=single cell;AC=PRIDE:0000897	not applicable	FACS	SM03p1b1_09_delta8	1	1	run 27	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL8;AC=PRIDE:0000852	NT=Dimethyl:2H(6)13C(2);MT=Fixed;PP=Any N-term;AC=UNIMOD:330	NT=Dimethyl:2H(6)13C(2);MT=Fixed;TA=K;AC=UNIMOD:330	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_09_S4-A9_1_4618.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
HeLa_reference_pool	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	HeLa	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y	female	NT=reference;AC=PRIDE:0000899	pooled	not applicable	reference	not applicable	1	run 28	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=DIMETHYL0;AC=PRIDE:0000848	NT=Dimethyl;MT=Fixed;PP=Any N-term;AC=UNIMOD:36	NT=Dimethyl;MT=Fixed;TA=K;AC=UNIMOD:36	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not applicable	not applicable	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=time-of-flight;AC=MS:1000084	15 ppm	15 ppm	not available	not available	not available	NT=diaPASEF;AC=PRIDE:0000650	DIMETHYL0	not applicable	SM03p1b1	1	1	20220820_TIMS06_MCT_SA_HeLa_SM03p1b1_Ref10_AID8_10_S4-A10_1_4619.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0
